RecordID,fixedAcidity,pH,alcohol,WineType,Brand,quality,sat,price,margin
350,9.1,3.36,9.4,R,Jacobs Creek,9.25,5.2,4.42,0.51
351,10.7,3.28,9.9,R,Blossom Hill,3.84,5.2,4.76,0.5
352,9.1,3.35,9.4,R,Beringer,8.55,3.5,3.57,0.35
353,7.7,3.27,9.3,R,Sutter Home,4.856,6.9,4.73,0.72
354,13.5,3.18,13,R,Beringer,3.735,6.2,4.61,0.29
355,6.1,3.25,11.9,R,Blossom Hill,9.49,6,4.48,0.5
356,6.7,3.55,12.8,R,Blossom Hill,4.68,7.5,5.08,0.43
357,11.5,3.26,11,R,Jacobs Creek,4.74,7,5.02,0.37
358,10.5,3.24,11.7,R,Beringer,11.69,8.4,6,0.67
359,11.9,3.15,10.4,R,Blossom Hill,13.9,4.6,3.64,0.34
360,12.6,3.17,9.8,R,Yellow Tail,9.057,8.7,5.92,0.62
361,8.2,3.19,9.4,R,Gallo,9.057,8.8,6.86,0.77
362,8.6,3.37,9.9,R,Yellow Tail,9.501,9.8,5.77,0.64
363,11.9,3.05,10,R,Jacobs Creek,7.246,7.1,5.79,0.54
364,12.5,2.99,10.2,R,Beringer,18.35,9.1,7.3,0.16
